2021-11-26 13:05:29.389 ERROR 20916 --- [restartedMain] o.s.b.c.l.LoggingApplicationListener     : Cannot set level '=debu' for 'org.springframework.web'
2021-11-26 13:05:35.281  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.mustache.cache
2021-11-26 13:05:35.281  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.h2.console.enabled
2021-11-26 13:05:35.281  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : server.servlet.session.persistent
2021-11-26 13:05:35.281  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.template.provider.cache
2021-11-26 13:05:35.281  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.reactor.stacktrace-mode.enabled
2021-11-26 13:05:35.281  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : spring.resources.chain.cache
2021-11-26 13:05:35.281  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : ===========================================
2021-11-26 13:05:35.337  INFO 20916 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2021-11-26 13:05:35.339  INFO 20916 --- [restartedMain] c.i.s.web.SpringBootFirstWebApplication  : Started SpringBootFirstWebApplication in 6.345 seconds (JVM running for 7.527)
2021-11-26 13:05:51.603  INFO 20916 --- [RMI TCP Connection(1)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-11-26 13:05:51.603  INFO 20916 --- [RMI TCP Connection(1)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2021-11-26 13:05:51.615  INFO 20916 --- [RMI TCP Connection(1)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 12 ms
2021-11-26 13:06:26.080  INFO 20916 --- [http-nio-8080-exec-8] o.h.h.i.QueryTranslatorFactoryInitiator  : HHH000397: Using ASTQueryTranslatorFactory
2021-11-26 13:09:30.822  INFO 20916 --- [RMI TCP Connection(3)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2021-11-26 13:09:30.825  INFO 20916 --- [RMI TCP Connection(3)-127.0.0.1] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2021-11-26 13:09:30.826  INFO 20916 --- [RMI TCP Connection(3)-127.0.0.1] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2021-11-26 13:09:30.829  INFO 20916 --- [RMI TCP Connection(3)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2021-11-26 13:09:30.833  INFO 20916 --- [RMI TCP Connection(3)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
